sold,quantity,price,reduction,date,store,days
6.0,6.0,70.0,50,2021-03-02,MAG_2,9
6.0,6.0,171.0,50,2021-09-19,MAG_1,5
3.0,5.0,106.0,50,2021-07-09,MAG_2,1
1.0,1.0,138.0,50,2021-03-22,MAG_2,1
5.0,5.0,17.0,50,2021-03-16,MAG_1,8
3.0,6.0,89.0,50,2021-05-30,MAG_3,1
5.0,6.0,58.0,50,2022-02-16,MAG_4,1
3.0,3.0,123.0,30,2021-04-18,MAG_4,6
5.0,5.0,82.0,50,2021-10-26,MAG_1,9
-0.0,5.0,73.0,40,2021-05-13,MAG_2,0
4.0,5.0,113.0,50,2022-02-06,MAG_3,0
15.0,15.0,46.0,50,2021-09-17,MAG_1,4
2.0,3.0,95.0,30,2021-12-10,MAG_1,0
4.0,6.0,318.0,50,2022-02-22,MAG_1,0
3.0,3.0,62.0,50,2021-08-24,MAG_4,3
0.0,4.0,120.0,50,2021-03-05,MAG_3,1
4.0,4.0,83.0,40,2021-10-11,MAG_4,5
4.0,4.0,109.0,30,2021-05-04,MAG_2,3
30.0,30.0,21.0,50,2021-09-26,MAG_2,8
4.0,5.0,184.0,50,2021-03-26,MAG_2,1
0.0,3.0,65.0,40,2021-09-06,MAG_2,2
6.0,6.0,117.0,50,2021-11-20,MAG_2,3
1.0,5.0,86.0,50,2021-09-06,MAG_2,1
3.0,5.0,104.0,50,2022-01-15,MAG_1,0
2.0,5.0,137.0,50,2021-03-10,MAG_2,1
3.0,4.0,142.0,50,2021-12-17,MAG_3,2
6.0,10.0,56.0,40,2021-12-04,MAG_1,1
2.0,5.0,75.0,50,2022-02-14,MAG_3,1
2.0,2.0,109.0,30,2021-11-02,MAG_1,9
1.0,4.0,110.0,50,2021-06-06,MAG_3,0
-0.0,5.0,94.0,50,2022-02-21,MAG_4,1
6.0,6.0,113.0,50,2021-07-21,MAG_2,1
-0.0,4.0,108.0,50,2021-12-21,MAG_2,0
1.0,1.0,86.0,40,2021-11-26,MAG_3,1
3.0,5.0,19.0,50,2021-10-10,MAG_2,0
0.0,4.0,108.0,50,2021-08-04,MAG_4,1
3.0,3.0,114.0,30,2021-06-22,MAG_4,8
-0.0,1.0,230.0,50,2021-07-08,MAG_2,0
0.0,5.0,143.0,50,2021-10-20,MAG_4,1
1.0,3.0,43.0,50,2021-11-07,MAG_1,1
1.0,6.0,27.0,50,2022-02-01,MAG_4,1
4.0,6.0,50.0,30,2021-04-04,MAG_4,1
1.0,6.0,60.0,30,2022-01-15,MAG_3,1
2.0,6.0,107.0,50,2021-04-21,MAG_3,1
2.0,4.0,125.0,50,2021-11-27,MAG_1,0
2.0,4.0,48.0,50,2021-09-11,MAG_2,1
2.0,2.0,92.0,50,2021-03-07,MAG_3,1
4.0,6.0,108.0,30,2021-09-26,MAG_3,0
3.0,5.0,127.0,40,2022-02-18,MAG_2,1
2.0,5.0,98.0,40,2021-12-03,MAG_2,1
5.0,10.0,131.0,30,2021-10-28,MAG_2,1
1.0,4.0,94.0,50,2022-01-11,MAG_4,1
5.0,10.0,54.0,40,2021-02-04,MAG_4,0
1.0,2.0,67.0,30,2021-10-03,MAG_4,1
1.0,1.0,98.0,50,2021-07-22,MAG_4,1
0.0,2.0,90.0,50,2021-04-19,MAG_4,1
4.0,4.0,146.0,50,2021-10-24,MAG_3,7
1.0,2.0,121.0,50,2021-08-16,MAG_3,0
2.0,4.0,108.0,50,2022-02-21,MAG_1,2
3.0,4.0,22.0,50,2021-05-31,MAG_3,0
0.0,1.0,41.0,50,2021-05-31,MAG_1,0
6.0,6.0,146.0,30,2021-10-05,MAG_3,0
4.0,4.0,239.0,50,2021-02-20,MAG_1,1
10.0,50.0,199.0,50,2021-09-28,MAG_1,1
5.0,5.0,50.0,50,2022-03-21,MAG_2,9
2.0,3.0,142.0,50,2021-11-24,MAG_1,2
20.0,20.0,88.0,50,2021-12-13,MAG_4,0
6.0,6.0,18.0,50,2021-12-13,MAG_3,7
2.0,6.0,183.0,50,2022-03-16,MAG_1,0
5.0,5.0,11.0,50,2022-03-15,MAG_2,1
1.0,6.0,17.0,50,2021-12-29,MAG_3,0
2.0,2.0,35.0,50,2021-05-31,MAG_4,1
3.0,6.0,104.0,30,2021-04-24,MAG_4,0
2.0,5.0,69.0,50,2021-07-03,MAG_4,1
1.0,3.0,120.0,30,2021-03-31,MAG_2,1
4.0,4.0,69.0,50,2021-11-14,MAG_1,4
0.0,4.0,118.0,50,2021-12-27,MAG_1,1
4.0,4.0,75.0,50,2021-09-09,MAG_1,3
3.0,6.0,76.0,50,2022-02-01,MAG_1,0
-0.0,6.0,155.0,50,2021-12-03,MAG_1,1
1.0,1.0,184.0,50,2021-04-24,MAG_3,5
3.0,3.0,64.0,30,2021-01-20,MAG_1,5
4.0,4.0,46.0,50,2021-01-09,MAG_3,3
1.0,3.0,212.0,50,2021-08-30,MAG_4,2
5.0,6.0,192.0,50,2021-12-10,MAG_2,0
2.0,5.0,91.0,50,2022-03-15,MAG_4,0
0.0,2.0,56.0,40,2022-03-05,MAG_3,1
2.0,3.0,238.0,30,2022-03-19,MAG_4,1
5.0,5.0,66.0,50,2021-03-16,MAG_2,8
3.0,3.0,54.0,50,2021-07-16,MAG_1,6
4.0,6.0,59.0,30,2021-06-06,MAG_1,2
6.0,6.0,79.0,50,2021-09-15,MAG_4,8
5.0,5.0,85.0,30,2021-05-31,MAG_2,5
6.0,6.0,188.0,50,2021-11-11,MAG_1,8
4.0,4.0,142.0,50,2021-10-03,MAG_2,8
2.0,2.0,158.0,50,2021-05-06,MAG_2,3
6.0,6.0,114.0,50,2021-01-17,MAG_2,1
3.0,3.0,33.0,50,2022-01-03,MAG_1,1
6.0,6.0,116.0,30,2021-10-11,MAG_1,7
8.0,10.0,123.0,50,2022-02-09,MAG_3,0
2.0,2.0,21.0,40,2022-03-01,MAG_1,6
1.0,5.0,182.0,50,2021-08-07,MAG_3,0
3.0,5.0,186.0,50,2021-05-07,MAG_2,1
10.0,10.0,194.0,50,2021-10-04,MAG_1,6
0.0,3.0,20.0,50,2022-01-27,MAG_1,2
10.0,10.0,107.0,50,2022-01-21,MAG_2,1
1.0,6.0,35.0,30,2021-08-11,MAG_4,0
6.0,6.0,97.0,50,2021-03-07,MAG_3,1
5.0,5.0,80.0,50,2021-07-01,MAG_3,6
1.0,4.0,18.0,50,2021-01-18,MAG_3,1
3.0,3.0,177.0,50,2021-11-27,MAG_1,1
6.0,6.0,24.0,30,2021-04-13,MAG_4,4
1.0,3.0,158.0,30,2021-04-21,MAG_3,0
3.0,3.0,192.0,50,2022-02-17,MAG_3,3
1.0,2.0,53.0,30,2021-07-04,MAG_3,1
0.0,3.0,118.0,30,2022-01-25,MAG_4,0
25.0,25.0,173.0,50,2021-01-03,MAG_3,4
6.0,6.0,34.0,50,2021-04-08,MAG_2,5
0.0,1.0,23.0,50,2021-12-29,MAG_2,1
2.0,4.0,130.0,50,2021-09-15,MAG_2,1
2.0,3.0,135.0,40,2021-06-03,MAG_3,1
5.0,5.0,44.0,50,2021-05-12,MAG_3,1
5.0,5.0,128.0,50,2022-02-26,MAG_3,1
2.0,2.0,33.0,50,2021-06-01,MAG_1,9
1.0,3.0,217.0,50,2022-02-19,MAG_3,0
0.0,1.0,143.0,40,2022-02-27,MAG_1,1
3.0,3.0,43.0,50,2021-02-03,MAG_4,5
2.0,4.0,77.0,50,2021-06-01,MAG_2,1
4.0,4.0,146.0,50,2021-09-01,MAG_4,1
1.0,3.0,95.0,30,2021-10-02,MAG_3,1
3.0,3.0,133.0,40,2021-12-28,MAG_2,1
1.0,4.0,116.0,30,2021-01-05,MAG_1,0
5.0,5.0,97.0,30,2021-02-04,MAG_4,6
3.0,3.0,25.0,50,2021-04-19,MAG_3,8
6.0,6.0,173.0,50,2021-03-07,MAG_4,9
6.0,6.0,90.0,50,2021-11-28,MAG_2,4
4.0,5.0,38.0,30,2021-04-01,MAG_3,1
5.0,5.0,43.0,50,2022-03-29,MAG_3,1
1.0,6.0,18.0,50,2021-02-05,MAG_3,1
4.0,4.0,170.0,30,2021-05-03,MAG_4,0
0.0,4.0,18.0,50,2021-04-28,MAG_1,1
2.0,2.0,29.0,50,2021-07-12,MAG_4,1
1.0,1.0,254.0,50,2021-12-28,MAG_3,1
1.0,3.0,190.0,50,2021-10-31,MAG_4,0
3.0,6.0,223.0,50,2022-02-24,MAG_3,2
4.0,6.0,102.0,50,2021-06-29,MAG_1,1
2.0,2.0,95.0,50,2021-10-12,MAG_2,8
4.0,4.0,84.0,30,2021-12-27,MAG_1,3
5.0,5.0,61.0,40,2022-02-02,MAG_1,0
4.0,4.0,100.0,50,2021-01-15,MAG_1,7
4.0,6.0,184.0,50,2021-02-28,MAG_1,1
2.0,2.0,203.0,50,2021-09-28,MAG_2,0
5.0,5.0,138.0,30,2021-01-29,MAG_2,3
2.0,4.0,101.0,50,2021-01-01,MAG_3,1
10.0,10.0,22.0,50,2021-02-19,MAG_1,3
6.0,6.0,67.0,50,2022-01-29,MAG_1,9
6.0,6.0,54.0,50,2022-03-11,MAG_1,2
6.0,6.0,214.0,50,2022-04-01,MAG_2,7
6.0,6.0,262.0,30,2022-01-13,MAG_3,6
3.0,3.0,117.0,50,2021-08-19,MAG_3,0
3.0,5.0,169.0,50,2021-07-02,MAG_4,1
5.0,6.0,195.0,50,2022-03-21,MAG_1,1
1.0,1.0,161.0,40,2021-12-15,MAG_3,8
2.0,5.0,114.0,50,2022-02-25,MAG_3,1
0.0,2.0,76.0,50,2021-03-17,MAG_1,1
5.0,5.0,60.0,50,2021-11-04,MAG_3,7
0.0,2.0,47.0,30,2022-01-22,MAG_1,2
-0.0,5.0,155.0,40,2021-01-15,MAG_1,1
3.0,3.0,21.0,50,2021-09-03,MAG_3,6
4.0,10.0,95.0,40,2021-07-15,MAG_4,1
3.0,3.0,196.0,50,2021-01-17,MAG_2,8
2.0,2.0,210.0,50,2021-01-09,MAG_1,4
0.0,1.0,175.0,30,2021-11-26,MAG_1,2
20.0,20.0,125.0,30,2021-11-14,MAG_2,3
2.0,10.0,64.0,50,2021-09-19,MAG_3,0
1.0,6.0,108.0,50,2021-10-18,MAG_1,1
5.0,5.0,187.0,30,2021-08-18,MAG_1,7
4.0,5.0,145.0,50,2021-05-13,MAG_1,1
8.0,8.0,173.0,50,2021-05-14,MAG_3,6
4.0,12.0,46.0,30,2021-11-26,MAG_4,1
5.0,6.0,11.0,50,2021-08-06,MAG_2,0
4.0,4.0,62.0,50,2022-01-05,MAG_1,6
5.0,5.0,35.0,50,2021-04-11,MAG_4,9
3.0,3.0,200.0,50,2021-10-17,MAG_4,1
3.0,3.0,28.0,50,2021-05-16,MAG_3,1
20.0,25.0,77.0,40,2021-01-22,MAG_2,2
3.0,3.0,88.0,30,2021-04-15,MAG_3,1
-0.0,5.0,198.0,50,2021-12-11,MAG_1,1
2.0,3.0,109.0,50,2021-01-09,MAG_1,1
2.0,2.0,45.0,50,2022-01-05,MAG_1,9
6.0,6.0,128.0,50,2022-01-12,MAG_2,4
2.0,2.0,181.0,30,2022-03-25,MAG_1,0
6.0,6.0,57.0,50,2021-03-10,MAG_1,1
6.0,6.0,47.0,50,2021-08-29,MAG_4,3
3.0,3.0,85.0,30,2021-08-24,MAG_1,5
6.0,6.0,60.0,30,2022-01-16,MAG_1,5
5.0,5.0,75.0,50,2021-12-14,MAG_2,1
-0.0,4.0,119.0,50,2021-06-17,MAG_1,1
0.0,1.0,173.0,30,2022-01-10,MAG_2,1
1.0,6.0,16.0,50,2021-10-29,MAG_2,1
4.0,6.0,163.0,30,2022-03-28,MAG_1,0
20.0,25.0,69.0,50,2021-02-25,MAG_4,0
12.0,12.0,73.0,50,2021-09-29,MAG_2,5
3.0,5.0,119.0,50,2021-01-17,MAG_3,0
3.0,5.0,54.0,50,2021-08-15,MAG_3,0
3.0,3.0,138.0,30,2021-04-09,MAG_2,1
0.0,12.0,79.0,50,2021-01-06,MAG_3,1
6.0,6.0,76.0,50,2021-03-11,MAG_1,4
-0.0,4.0,92.0,50,2021-06-18,MAG_2,0
20.0,25.0,31.0,50,2021-05-18,MAG_2,0
3.0,3.0,81.0,40,2021-06-23,MAG_3,3
3.0,4.0,68.0,30,2021-09-25,MAG_4,0
3.0,4.0,47.0,50,2022-02-24,MAG_3,2
4.0,5.0,48.0,40,2021-09-25,MAG_1,1
5.0,5.0,120.0,50,2021-05-03,MAG_3,1
1.0,4.0,22.0,30,2021-04-10,MAG_2,1
30.0,30.0,44.0,30,2021-09-27,MAG_4,8
1.0,2.0,109.0,50,2021-12-08,MAG_1,1
-0.0,6.0,12.0,50,2021-05-12,MAG_2,1
4.0,4.0,109.0,40,2022-01-13,MAG_1,8
-0.0,5.0,151.0,50,2021-03-09,MAG_4,1
0.0,1.0,65.0,50,2021-12-27,MAG_2,2
6.0,6.0,15.0,50,2021-05-25,MAG_4,9
5.0,6.0,131.0,50,2021-07-22,MAG_2,1
3.0,5.0,173.0,50,2021-07-23,MAG_3,0
6.0,6.0,90.0,50,2021-07-01,MAG_1,1
2.0,2.0,70.0,30,2021-07-09,MAG_3,1
4.0,6.0,88.0,50,2022-01-13,MAG_1,0
10.0,25.0,69.0,40,2021-09-29,MAG_3,0
2.0,2.0,207.0,50,2021-02-22,MAG_4,3
4.0,4.0,176.0,50,2021-12-19,MAG_2,9
5.0,10.0,48.0,50,2021-03-17,MAG_1,0
20.0,25.0,64.0,50,2022-02-26,MAG_2,1
0.0,1.0,194.0,50,2022-03-04,MAG_1,0
1.0,1.0,109.0,50,2022-03-11,MAG_3,7
2.0,2.0,81.0,50,2021-11-06,MAG_1,1
5.0,5.0,154.0,50,2021-05-19,MAG_2,7
1.0,4.0,179.0,50,2021-08-25,MAG_2,0
-0.0,12.0,185.0,40,2021-07-22,MAG_2,0
1.0,5.0,107.0,40,2021-10-09,MAG_3,2
5.0,5.0,130.0,50,2021-12-07,MAG_3,1
6.0,6.0,88.0,50,2022-04-01,MAG_2,8
3.0,3.0,13.0,50,2021-08-07,MAG_2,8
4.0,5.0,113.0,30,2021-01-01,MAG_2,1
3.0,6.0,69.0,30,2021-10-02,MAG_1,1
2.0,6.0,74.0,50,2021-05-04,MAG_4,1
6.0,6.0,146.0,30,2021-08-08,MAG_4,1
4.0,4.0,119.0,50,2021-04-16,MAG_2,5
5.0,5.0,216.0,30,2021-11-15,MAG_1,0
2.0,12.0,20.0,50,2021-07-10,MAG_2,1
3.0,3.0,130.0,50,2021-02-11,MAG_1,1
4.0,5.0,47.0,50,2021-06-24,MAG_3,0
3.0,3.0,123.0,50,2021-02-11,MAG_3,5
1.0,1.0,112.0,50,2021-06-29,MAG_2,1
0.0,3.0,59.0,50,2022-01-03,MAG_1,1
5.0,5.0,103.0,40,2022-03-14,MAG_2,1
4.0,4.0,140.0,50,2021-10-04,MAG_2,3
5.0,5.0,88.0,50,2021-06-01,MAG_3,4
-0.0,4.0,51.0,30,2021-12-27,MAG_3,1
12.0,12.0,152.0,30,2021-02-08,MAG_4,3
2.0,2.0,199.0,50,2021-01-18,MAG_3,7
1.0,5.0,77.0,30,2021-01-07,MAG_4,1
-0.0,4.0,219.0,50,2021-10-07,MAG_3,1
3.0,4.0,173.0,30,2021-11-08,MAG_3,1
4.0,4.0,71.0,40,2021-02-20,MAG_1,5
